,Crime_Type,Charges_Filed,Time_Served_Months,Prior_Criminal_History,Risk_of_Flight,Influence_on_Trial,Bail_Decision,Socio_Economic_Status
517,Drug-related,"['Cyber Laws', 'Narcotics Act', 'Economic Offenses Act']",28,0,0.3333678381165628,0.752154892257666,Granted,High
518,Drug-related,"['IPC 307', 'Cyber Laws', 'Narcotics Act']",39,0,0.4491234139302508,0.5035768963385915,Rejected,Low
519,Economic,"['IPC 379', 'IPC 379']",45,1,0.570664578980789,0.8940546052038866,Rejected,High
520,Cyber Crime,"['IPC 307', 'IPC 307']",20,0,0.435589158012709,0.9363427533982278,Granted,Low
521,Violent,"['Narcotics Act', 'IPC 420']",24,1,0.4148468503015949,0.8073709397924894,Granted,Middle
522,Cyber Crime,"['IPC 302', 'IPC 379']",27,1,0.7327234154133065,0.6355934820081872,Granted,Middle
523,Economic,"['IPC 302', 'Cyber Laws']",30,0,0.6858762750864646,0.3037209535911886,Rejected,High
524,Drug-related,"['IPC 379', 'IPC 379', 'IPC 307']",45,0,0.8332712820358479,0.9829449216202212,Granted,Middle
525,Cyber Crime,"['IPC 302', 'Economic Offenses Act']",27,0,0.2499589812394955,0.2741361671919383,Rejected,High
526,Drug-related,"['Economic Offenses Act', 'IPC 379']",26,1,0.6095285097540636,0.202656921990431,Rejected,Middle
527,Violent,['IPC 420'],7,1,0.5851947853928539,0.4421541137865827,Rejected,Middle
528,Drug-related,['Narcotics Act'],42,0,0.3697378108726887,0.0568405707123884,Rejected,Low
529,Drug-related,['Economic Offenses Act'],47,1,0.4860575419026809,0.9784944646717908,Granted,High
530,Non-violent,['Narcotics Act'],38,0,0.3137821433057287,0.5884335564164248,Rejected,High
531,Non-violent,['IPC 420'],5,0,0.1418443976169852,0.5569520916641753,Granted,Middle
532,Non-violent,['Economic Offenses Act'],23,1,0.2138012106627328,0.6557962798997199,Rejected,Low
533,Drug-related,['IPC 420'],28,1,0.105513646401201,0.4970236477772066,Granted,Low
534,Economic,"['IPC 307', 'Economic Offenses Act', 'Economic Offenses Act']",34,1,0.6830695751901241,0.0320635170945415,Granted,High
535,Drug-related,['IPC 307'],15,1,0.6607273931091515,0.6123112888403968,Granted,High
536,Economic,"['Cyber Laws', 'IPC 420']",32,0,0.9506063715798728,0.7161738769564306,Rejected,Middle
537,Economic,"['Economic Offenses Act', 'Cyber Laws']",26,0,0.7296784136472413,0.4167490606240531,Rejected,High
538,Non-violent,"['IPC 379', 'IPC 379', 'Cyber Laws']",31,0,0.0520458387561314,0.7572955720711929,Rejected,Middle
539,Cyber Crime,['Narcotics Act'],19,1,0.8842451739289542,0.2270012993384206,Granted,Low
540,Violent,"['Narcotics Act', 'Narcotics Act']",9,0,0.8626751629457258,0.221276591066184,Rejected,High
541,Non-violent,"['IPC 379', 'Cyber Laws', 'IPC 307']",29,1,0.4433203207726987,0.1614169876875739,Rejected,Low
542,Non-violent,['Economic Offenses Act'],39,1,0.5858630505279215,0.3719947597891618,Rejected,Low
543,Cyber Crime,"['IPC 307', 'IPC 420']",4,1,0.9760783324725189,0.8470120353890835,Granted,Middle
544,Violent,"['IPC 420', 'IPC 307']",3,0,0.5323043638481663,0.8279120621490643,Rejected,Low
545,Drug-related,"['IPC 307', 'Narcotics Act']",29,1,0.9053218283760898,0.3828242079635038,Rejected,Middle
546,Drug-related,"['Economic Offenses Act', 'IPC 420', 'IPC 307']",11,1,0.0830387578101864,0.5891187359802366,Granted,Middle
547,Non-violent,"['IPC 379', 'Economic Offenses Act', 'Cyber Laws']",33,1,0.1910518687086828,0.7208163164749156,Granted,Low
548,Violent,"['Economic Offenses Act', 'IPC 379']",38,1,0.4407549434413178,0.2412067746280229,Granted,Low
549,Non-violent,"['Narcotics Act', 'Economic Offenses Act']",11,1,0.5847568083373047,0.168141085894747,Granted,Middle
550,Economic,['Economic Offenses Act'],27,1,0.8162278518628002,0.972095993212311,Granted,Middle
551,Non-violent,['IPC 302'],33,1,0.9882621151431868,0.6175573132096185,Granted,Low
552,Non-violent,['Cyber Laws'],21,1,0.3888514964741164,0.981415721833664,Rejected,Middle
553,Drug-related,['Narcotics Act'],39,1,0.0474156361400849,0.3377559871322291,Rejected,Middle
554,Drug-related,['IPC 379'],31,1,0.8011715032953248,0.7030316999741315,Granted,High
555,Drug-related,['IPC 379'],38,1,0.6043807190828081,0.2226036365412377,Rejected,High
556,Economic,['IPC 302'],46,1,0.1985428588682016,0.2612001712739129,Granted,High
557,Drug-related,"['Economic Offenses Act', 'IPC 302']",2,0,0.4948284566214201,0.511902121269624,Rejected,High
558,Violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 307']",27,0,0.7423102455337244,0.3196181255080712,Granted,High
559,Cyber Crime,"['IPC 420', 'Cyber Laws']",36,1,0.7704117870686438,0.1676215638405844,Granted,Middle
560,Violent,"['Cyber Laws', 'IPC 307']",11,1,0.499618411998762,0.262880701989326,Rejected,Middle
561,Violent,"['IPC 420', 'Narcotics Act']",47,1,0.3052145301288591,0.0357483944658646,Rejected,High
562,Drug-related,"['Cyber Laws', 'Cyber Laws', 'Economic Offenses Act']",18,0,0.9737425820384936,0.7044236214774866,Rejected,Low
563,Cyber Crime,['IPC 379'],1,0,0.6633626109564928,0.4921166570858616,Rejected,High
564,Cyber Crime,"['IPC 307', 'IPC 420', 'Economic Offenses Act']",35,0,0.4082375193462987,0.0942430664045256,Rejected,Low
565,Cyber Crime,"['Cyber Laws', 'IPC 307', 'IPC 307']",35,1,0.2804632242046524,0.1716939931284912,Rejected,Middle
566,Economic,"['Economic Offenses Act', 'IPC 379']",31,1,0.7311029830035621,0.102534538112644,Rejected,Low
567,Drug-related,['IPC 420'],28,1,0.2421834455937677,0.6125928082758765,Rejected,Middle
568,Cyber Crime,['Economic Offenses Act'],39,1,0.1717099889736881,0.0942103636124938,Granted,Low
569,Economic,['Economic Offenses Act'],1,0,0.5298338889620703,0.7542823330352161,Rejected,Middle
570,Non-violent,['IPC 307'],25,1,0.2899873926441418,0.0205109193203911,Rejected,Middle
571,Non-violent,['IPC 307'],43,0,0.628905144923615,0.2493757879958921,Granted,High
572,Economic,"['Cyber Laws', 'Cyber Laws']",38,0,0.1179386748742334,0.8906666758919072,Granted,Middle
573,Economic,['Economic Offenses Act'],20,1,0.6549411045673216,0.718531318122246,Granted,High
574,Drug-related,"['IPC 302', 'Cyber Laws']",3,0,0.2832965279977022,0.0729683329256877,Granted,High
575,Drug-related,['IPC 420'],2,0,0.0002429344345127,0.8211261044851798,Rejected,High
576,Non-violent,['Narcotics Act'],18,0,0.1269360576741763,0.4930351215402048,Rejected,Low
577,Cyber Crime,"['IPC 302', 'IPC 302', 'IPC 379']",44,0,0.933615377835094,0.8467830271688292,Granted,Low
578,Non-violent,"['IPC 302', 'IPC 379', 'IPC 307']",10,1,0.8673546391153578,0.6007397744503934,Granted,Middle
579,Cyber Crime,"['Economic Offenses Act', 'IPC 379']",5,1,0.2336090320362368,0.6818330320328587,Rejected,High
580,Cyber Crime,['IPC 379'],9,0,0.7783719045454912,0.993501560395708,Rejected,High
581,Drug-related,['Cyber Laws'],2,1,0.6085715931739742,0.2323355459240181,Rejected,Middle
582,Violent,"['Narcotics Act', 'IPC 302', 'IPC 307']",34,0,0.9709047114498696,0.6239455747613883,Rejected,High
583,Violent,"['IPC 307', 'Narcotics Act', 'IPC 302']",38,1,0.3736056595340591,0.4603213900573983,Granted,Middle
584,Economic,"['IPC 302', 'Economic Offenses Act', 'IPC 307']",31,1,0.6814606125171713,0.0394519529226914,Rejected,High
585,Drug-related,"['Economic Offenses Act', 'Narcotics Act', 'Narcotics Act']",10,1,0.0635357224239185,0.014470641502865,Granted,Low
586,Cyber Crime,"['Narcotics Act', 'Narcotics Act', 'IPC 302']",12,1,0.3962473468164059,0.1192285778178586,Granted,Middle
587,Violent,"['IPC 302', 'IPC 420', 'Economic Offenses Act']",36,1,0.9638176611881804,0.6490917405385481,Granted,Middle
588,Cyber Crime,['Cyber Laws'],21,0,0.5389808744501206,0.5671630879133922,Rejected,Low
589,Violent,['Narcotics Act'],47,1,0.2878795033348446,0.5534295611637274,Granted,Middle
590,Violent,"['IPC 379', 'IPC 420', 'Narcotics Act']",6,0,0.1202709631286068,0.03185676252826,Rejected,Low
591,Violent,"['IPC 302', 'Narcotics Act']",3,0,0.7035283401815304,0.469302996360007,Granted,High
592,Drug-related,"['Economic Offenses Act', 'IPC 420']",10,1,0.6448560434297268,0.9246228178425284,Rejected,Low
593,Non-violent,['IPC 379'],5,0,0.3739387136037746,0.3975918693106466,Granted,Low
594,Cyber Crime,"['IPC 307', 'Cyber Laws', 'IPC 379']",46,1,0.9509413518658344,0.6249224697884563,Granted,Middle
595,Drug-related,['IPC 420'],26,0,0.0222028129878503,0.7798186756231436,Rejected,High
596,Drug-related,"['IPC 302', 'Narcotics Act', 'IPC 307']",21,0,0.3037238516318258,0.7839252791418876,Rejected,Low
597,Drug-related,['Narcotics Act'],45,1,0.9210694862995814,0.5192800823952713,Granted,High
598,Drug-related,"['IPC 307', 'IPC 302', 'IPC 302']",26,1,0.3209354383194404,0.8579519454023363,Granted,Low
599,Drug-related,"['IPC 379', 'Cyber Laws']",38,1,0.2522528338551704,0.3913780933637469,Rejected,Middle
600,Economic,"['IPC 302', 'IPC 420']",44,1,0.5342204099312473,0.8886932147847983,Granted,Low
601,Cyber Crime,['Economic Offenses Act'],26,0,0.8238017499205379,0.2402271663955453,Rejected,Low
602,Drug-related,['Narcotics Act'],8,1,0.103146760878361,0.280216406990571,Rejected,High
603,Cyber Crime,"['IPC 302', 'Economic Offenses Act']",5,0,0.943020709645736,0.0531206241990011,Granted,Low
604,Economic,"['IPC 379', 'IPC 420']",15,0,0.795072881181164,0.7955818365422829,Rejected,Middle
605,Economic,"['IPC 420', 'IPC 420']",16,0,0.1812502555515519,0.4170552362327056,Granted,Middle
606,Cyber Crime,['IPC 420'],1,0,0.7120079611981627,0.229116613911399,Rejected,Low
607,Violent,"['Cyber Laws', 'IPC 302']",16,0,0.3849587226375571,0.2317902776165796,Rejected,Low
608,Non-violent,['IPC 420'],37,0,0.4022946780763187,0.9013999412292332,Granted,High
609,Violent,"['IPC 379', 'Narcotics Act', 'IPC 302']",3,1,0.7832900924388664,0.8339166004610369,Rejected,High
610,Violent,['Cyber Laws'],47,0,0.9627848079807322,0.5535308853571833,Granted,Middle
611,Violent,"['IPC 307', 'Narcotics Act']",31,0,0.1266558728471939,0.6161108004157211,Rejected,High
612,Drug-related,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",13,0,0.4206302368788194,0.474325570550291,Rejected,Low
613,Economic,['Narcotics Act'],16,1,0.4809416080843035,0.3916665428788088,Rejected,Middle
614,Violent,"['IPC 307', 'Cyber Laws']",43,1,0.3763118169549976,0.9154768812183316,Rejected,High
615,Economic,['IPC 420'],21,0,0.363189123716225,0.125612703520302,Granted,Middle
616,Cyber Crime,"['IPC 307', 'IPC 379']",2,1,0.0522686675615965,0.4184467897162279,Rejected,Low
617,Non-violent,['IPC 379'],27,0,0.6855386205626233,0.3445619079878753,Rejected,High
618,Cyber Crime,"['Cyber Laws', 'IPC 302', 'IPC 420']",38,1,0.4362144171200454,0.4981507202511483,Rejected,Low
619,Cyber Crime,"['IPC 420', 'Narcotics Act']",26,0,0.1947938026439267,0.457631874545175,Granted,Low
620,Drug-related,"['IPC 302', 'IPC 420', 'IPC 307']",38,1,0.8160335023020684,0.5188895316510814,Granted,Middle
621,Non-violent,"['Cyber Laws', 'IPC 302']",46,1,0.8025607481516279,0.1399189772269941,Granted,Middle
622,Cyber Crime,"['IPC 420', 'Economic Offenses Act', 'IPC 302']",25,1,0.4863916280888938,0.5131415015132771,Granted,Middle
623,Cyber Crime,"['IPC 420', 'IPC 379']",11,0,0.2984506611477605,0.2424188138872108,Rejected,High
624,Non-violent,"['Narcotics Act', 'IPC 307']",8,0,0.6380927257964524,0.1843313489881912,Rejected,High
625,Non-violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 302']",8,0,0.288152135777403,0.0648342187861912,Rejected,Middle
626,Cyber Crime,"['Narcotics Act', 'Cyber Laws']",33,1,0.236007930323712,0.7626525587561409,Granted,High
627,Non-violent,"['Narcotics Act', 'IPC 302', 'IPC 302']",7,1,0.7305146540263266,0.4274419208565599,Granted,High
628,Cyber Crime,"['IPC 307', 'Economic Offenses Act', 'IPC 420']",38,0,0.0403252397209507,0.6266436833117583,Rejected,Middle
629,Cyber Crime,['Cyber Laws'],21,1,0.0947684710345939,0.7275933433047433,Rejected,Low
630,Drug-related,"['Narcotics Act', 'IPC 420', 'Narcotics Act']",8,0,0.0067881740235897,0.6793166653135535,Rejected,High
631,Violent,"['IPC 420', 'Economic Offenses Act', 'IPC 379']",21,0,0.1529431864754261,0.4705007190896823,Granted,High
632,Cyber Crime,['IPC 379'],20,0,0.0689900087104594,0.3878985289517298,Rejected,Low
633,Economic,['Economic Offenses Act'],8,0,0.9958023677799186,0.3759599096406637,Rejected,Low
634,Violent,['Narcotics Act'],46,1,0.2888099699540896,0.6400487969300563,Granted,Low
635,Violent,"['IPC 379', 'IPC 420']",31,1,0.1492680126692472,0.4947943549418734,Granted,Middle
636,Violent,"['Narcotics Act', 'IPC 302', 'Narcotics Act']",29,1,0.2409962579959179,0.8491322479885106,Rejected,Low
637,Drug-related,"['IPC 307', 'IPC 420']",9,0,0.9361255715401346,0.8747019843267121,Granted,Middle
638,Cyber Crime,['Economic Offenses Act'],15,1,0.5201602230243957,0.1705603780065184,Rejected,Low
639,Drug-related,"['IPC 420', 'IPC 307', 'IPC 420']",30,0,0.3648180963078569,0.1362336515457256,Rejected,Low
640,Cyber Crime,"['IPC 302', 'Economic Offenses Act']",26,0,0.8733914579092193,0.6304009260359995,Rejected,Middle
641,Drug-related,['IPC 420'],10,0,0.3949902705490324,0.3012257480622794,Rejected,Middle
642,Drug-related,"['IPC 379', 'Economic Offenses Act']",29,0,0.3350085699576958,0.0185707187650988,Granted,Low
643,Economic,"['IPC 302', 'IPC 302']",16,0,0.2072825225497355,0.8886426693629551,Granted,Low
644,Drug-related,"['IPC 307', 'IPC 420', 'Economic Offenses Act']",36,0,0.3777968239094115,0.2269007672438082,Granted,Low
645,Non-violent,"['IPC 302', 'IPC 307']",20,1,0.316684356016926,0.9292806516858092,Rejected,High
646,Economic,['IPC 307'],45,1,0.677303959298141,0.7174344508782536,Rejected,Low
647,Drug-related,"['Narcotics Act', 'IPC 379', 'IPC 379']",37,1,0.2895827046707271,0.7626534899114843,Rejected,Middle
648,Violent,['Narcotics Act'],22,1,0.5771997464225614,0.2014614957931604,Granted,High
649,Non-violent,"['Economic Offenses Act', 'IPC 420', 'IPC 379']",7,0,0.0658921650319727,0.2341944256168129,Granted,Middle
650,Non-violent,"['IPC 302', 'IPC 302', 'Economic Offenses Act']",23,0,0.1912891566965143,0.5212677538240658,Rejected,High
651,Non-violent,"['Cyber Laws', 'IPC 420']",41,1,0.4074052716113487,0.1720998526498621,Granted,High
652,Economic,['Economic Offenses Act'],40,1,0.9369492539086954,0.3054316926830323,Granted,Middle
653,Drug-related,"['IPC 302', 'Cyber Laws', 'IPC 307']",29,1,0.3772519857156954,0.3214624779478044,Granted,High
654,Drug-related,"['IPC 302', 'IPC 307']",16,1,0.6640741211998341,0.1596299332527641,Granted,Middle
655,Violent,['IPC 420'],38,1,0.2550872224213981,0.2051828333951607,Rejected,Low
656,Violent,['IPC 379'],28,1,0.1270335759732317,0.7885518420082566,Granted,High
657,Non-violent,"['IPC 302', 'IPC 307']",38,1,0.0585366000800501,0.1671958545472683,Rejected,Middle
658,Violent,"['IPC 379', 'IPC 307']",31,1,0.3054134985427513,0.0284573918439224,Granted,High
659,Economic,"['Narcotics Act', 'IPC 307', 'Narcotics Act']",14,0,0.1576610267969079,0.6293549426289384,Rejected,Middle
660,Drug-related,"['Narcotics Act', 'Cyber Laws']",33,0,0.1740104480161242,0.97598311939245,Rejected,Low
661,Non-violent,"['Cyber Laws', 'Cyber Laws']",9,0,0.76075930838695,0.3312138146231214,Granted,Low
662,Violent,"['IPC 307', 'Cyber Laws']",27,0,0.0158380709448742,0.1186557031962523,Rejected,High
663,Economic,"['Cyber Laws', 'Narcotics Act']",24,1,0.5578101257354344,0.5703873253675308,Rejected,High
664,Economic,"['Cyber Laws', 'IPC 379', 'Cyber Laws']",13,0,0.3794613805934648,0.9063542110956462,Granted,Middle
665,Violent,"['Narcotics Act', 'IPC 420']",26,1,0.5065499999085472,0.7840617798284788,Rejected,Middle
666,Drug-related,['IPC 379'],29,0,0.5628302372146029,0.622515868412716,Granted,High
667,Violent,['IPC 302'],43,1,0.3133676944572782,0.3150564966075994,Rejected,Middle
668,Non-violent,"['Narcotics Act', 'IPC 307', 'IPC 379']",28,1,0.2951088601842853,0.54188017327622,Granted,Middle
669,Violent,"['IPC 420', 'IPC 420', 'Cyber Laws']",28,0,0.7334018493349057,0.0912448413042553,Granted,Middle
670,Economic,['IPC 420'],8,0,0.8712769881211572,0.67894542428067,Granted,High
671,Violent,"['IPC 420', 'IPC 379', 'IPC 307']",23,1,0.1925816324585278,0.7250960188976509,Granted,Low
672,Drug-related,"['IPC 302', 'IPC 420']",29,1,0.0976187605351489,0.9650316229099188,Granted,Low
673,Cyber Crime,"['Narcotics Act', 'IPC 302', 'IPC 307']",5,1,0.8977958063920259,0.2603973587450716,Rejected,Middle
674,Violent,"['Economic Offenses Act', 'Economic Offenses Act', 'Cyber Laws']",42,0,0.3498954636473986,0.0184564190430226,Rejected,High
675,Drug-related,"['IPC 307', 'IPC 307']",7,0,0.5513173906628142,0.5456084644271506,Granted,Middle
676,Drug-related,"['IPC 420', 'IPC 420']",42,1,0.3595431445200034,0.7067905043968145,Rejected,Low
677,Economic,"['Narcotics Act', 'IPC 379', 'Narcotics Act']",36,0,0.1258023363460513,0.790407475882988,Rejected,Middle
678,Drug-related,"['IPC 302', 'IPC 379']",41,1,0.589331644947728,0.1937389330248106,Rejected,Low
679,Drug-related,"['Narcotics Act', 'IPC 307', 'IPC 307']",27,0,0.5251408517696297,0.2617528690370236,Granted,High
680,Drug-related,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",46,0,0.2029935591911972,0.5125909252672963,Granted,Middle
681,Drug-related,"['Cyber Laws', 'IPC 302', 'IPC 379']",2,0,0.4518690446522778,0.3306008099700018,Rejected,High
682,Non-violent,"['IPC 302', 'IPC 379', 'IPC 420']",25,0,0.7969475040156458,0.860511486587445,Granted,Middle
683,Non-violent,"['Cyber Laws', 'Narcotics Act']",9,0,0.5904261031078913,0.4737601537387202,Granted,Middle
684,Economic,"['IPC 420', 'IPC 302']",27,1,0.0969173270669948,0.799578644102003,Rejected,Middle
685,Violent,['IPC 307'],1,1,0.5480214972291351,0.5806197604823538,Granted,Middle
686,Drug-related,['IPC 420'],23,0,0.7027382992895869,0.773090141617112,Granted,Middle
687,Violent,"['Economic Offenses Act', 'IPC 379']",10,1,0.7927034057807514,0.3326729865303238,Granted,High
688,Violent,['IPC 307'],42,1,0.6291175786342668,0.8314166219303112,Granted,High
689,Economic,"['Economic Offenses Act', 'IPC 379']",25,0,0.1526581645407837,0.2745723155510216,Granted,Low
690,Drug-related,"['Narcotics Act', 'IPC 379']",3,1,0.7101732665901607,0.5460988080032908,Rejected,Middle
691,Drug-related,['Narcotics Act'],6,0,0.6773418460815164,0.2140071131738742,Granted,Low
692,Cyber Crime,"['IPC 420', 'Narcotics Act', 'Narcotics Act']",6,1,0.0244268829406332,0.4755265216261933,Granted,High
693,Violent,"['IPC 420', 'IPC 302']",2,1,0.4117476675902431,0.3181752095087031,Rejected,Low
694,Violent,"['Economic Offenses Act', 'IPC 379']",18,1,0.3329502469623733,0.2667034306372142,Rejected,High
695,Non-violent,"['IPC 379', 'IPC 302']",23,1,0.6694120642536434,0.9669850180280376,Granted,Middle
696,Cyber Crime,['Narcotics Act'],2,1,0.2161358123109207,0.1600741054867306,Rejected,Low
697,Non-violent,"['IPC 302', 'IPC 379', 'IPC 420']",12,1,0.5908719229742585,0.7873258374573953,Granted,Low
698,Non-violent,['Cyber Laws'],22,1,0.9132059618141724,0.9841649594832148,Rejected,Low
699,Non-violent,"['IPC 379', 'IPC 302', 'Economic Offenses Act']",37,0,0.7978023722086077,0.0199014837400778,Granted,Low
700,Economic,"['IPC 307', 'Cyber Laws', 'IPC 302']",20,0,0.9214577362165304,0.699027414042095,Rejected,Middle
701,Economic,"['Narcotics Act', 'IPC 420']",39,0,0.97850596693269,0.2529118055562871,Granted,High
702,Non-violent,['IPC 420'],24,0,0.0106701270061627,0.0404878243283044,Rejected,High
703,Cyber Crime,['IPC 379'],20,1,0.6227412763774776,0.4028895789566308,Granted,Middle
704,Violent,"['IPC 420', 'IPC 302']",1,1,0.4128393977589064,0.935217810170875,Granted,High
705,Cyber Crime,"['IPC 302', 'IPC 307']",1,1,0.8598544903351217,0.0117650943669976,Granted,Low
706,Drug-related,"['Narcotics Act', 'IPC 420']",17,0,0.2518147020091317,0.5878856919297817,Rejected,Middle
707,Economic,"['IPC 307', 'IPC 379', 'IPC 379']",1,0,0.981029489115076,0.5013964785953243,Rejected,High
708,Violent,['IPC 302'],45,0,0.6137079695437473,0.8733841643710475,Granted,Middle
709,Violent,['IPC 307'],30,1,0.793537402228831,0.0840017145206256,Granted,Middle
710,Drug-related,['IPC 302'],41,0,0.0855995528227683,0.6815260298866503,Granted,High
711,Drug-related,"['IPC 307', 'Narcotics Act']",47,1,0.183457884758865,0.6801096984332773,Granted,High
712,Non-violent,['Narcotics Act'],3,0,0.7584036730342032,0.6690800168622832,Rejected,Middle
713,Economic,['IPC 379'],46,1,0.0219865220393236,0.942334494935037,Rejected,Middle
714,Economic,"['Narcotics Act', 'IPC 379', 'IPC 420']",11,0,0.8168779858937828,0.8230875290068804,Rejected,High
715,Cyber Crime,"['IPC 379', 'IPC 379']",24,1,0.0139490186919114,0.041972726243506,Granted,Middle
716,Non-violent,['IPC 420'],22,0,0.6571188390612733,0.4710828507045131,Granted,High
717,Non-violent,"['Economic Offenses Act', 'Economic Offenses Act', 'Economic Offenses Act']",44,0,0.3650939202318058,0.3979530562013335,Rejected,Middle
718,Non-violent,"['Narcotics Act', 'Narcotics Act']",45,1,0.6114948527191991,0.310147221090802,Rejected,Middle
719,Non-violent,"['IPC 420', 'Economic Offenses Act']",26,1,0.6960314069891137,0.4513367251540973,Rejected,Middle
720,Economic,"['IPC 420', 'Economic Offenses Act']",13,0,0.3424752191863042,0.3841941849259774,Rejected,High
721,Economic,"['IPC 420', 'Narcotics Act']",1,1,0.1079624481108355,0.4323338998786653,Granted,Low
722,Non-violent,['IPC 302'],24,0,0.0696458677482656,0.9792618656086424,Granted,High
723,Cyber Crime,"['Economic Offenses Act', 'Cyber Laws', 'IPC 420']",10,1,0.5889360225625478,0.0886329747495807,Granted,Middle
724,Violent,"['IPC 302', 'IPC 379']",35,0,0.5206553537341115,0.9222308698387298,Rejected,Low
725,Violent,"['Economic Offenses Act', 'IPC 379']",24,1,0.7422010091211325,0.4802367134710267,Granted,Low
726,Cyber Crime,['IPC 302'],28,0,0.5097355100039371,0.6237422454995412,Rejected,Middle
727,Non-violent,"['Economic Offenses Act', 'IPC 379', 'Economic Offenses Act']",36,0,0.4224457900308791,0.8301829666176939,Rejected,High
728,Economic,['IPC 420'],16,0,0.3980871782362308,0.3604630291492555,Rejected,Low
729,Violent,"['Narcotics Act', 'IPC 307']",40,1,0.0264469025976674,0.4304219080879669,Rejected,Low
730,Drug-related,"['IPC 307', 'IPC 302', 'IPC 302']",16,0,0.3355572016966571,0.4095184802787139,Rejected,High
731,Drug-related,"['Narcotics Act', 'IPC 420', 'Economic Offenses Act']",17,1,0.9760201575244942,0.3747310225357598,Granted,High
732,Cyber Crime,['Narcotics Act'],15,1,0.8735555762270888,0.9255293216468948,Granted,Low
733,Non-violent,"['Cyber Laws', 'Narcotics Act', 'Cyber Laws']",16,1,0.3293780670342177,0.8289298911930121,Granted,High
734,Violent,['IPC 302'],15,0,0.5877954050663722,0.1089999898629761,Rejected,Low
735,Non-violent,['IPC 302'],34,1,0.847296745535494,0.108123352477096,Granted,Middle
736,Violent,"['Cyber Laws', 'Narcotics Act']",11,1,0.4412743367500686,0.4278695148529912,Rejected,High
737,Cyber Crime,['IPC 307'],1,1,0.0179578637501509,0.098657376732809,Granted,Low
738,Cyber Crime,"['Economic Offenses Act', 'Cyber Laws', 'Narcotics Act']",15,0,0.07451046181864,0.6190930952711197,Rejected,High
739,Drug-related,['IPC 420'],26,1,0.5103927213487066,0.1436916072617339,Rejected,High
740,Non-violent,"['IPC 379', 'Cyber Laws', 'Economic Offenses Act']",4,1,0.9694393756758783,0.5223732639668011,Granted,Low
741,Drug-related,"['IPC 379', 'Economic Offenses Act']",43,1,0.6932095422188678,0.0072199470037177,Rejected,Middle
742,Non-violent,"['IPC 302', 'Narcotics Act', 'Narcotics Act']",5,1,0.0709161914385695,0.3165963484126467,Granted,Low
743,Drug-related,"['IPC 307', 'IPC 307', 'Cyber Laws']",35,0,0.1893608757918627,0.6771907236726554,Granted,High
744,Economic,"['Narcotics Act', 'IPC 302']",13,0,0.77132314321685,0.4840389402278484,Granted,Low
745,Economic,"['IPC 379', 'Cyber Laws', 'IPC 302']",10,1,0.8414397599562448,0.978269485998988,Rejected,High
746,Economic,"['IPC 379', 'Economic Offenses Act']",11,1,0.6176945861885909,0.8741037960662108,Rejected,Low
747,Economic,"['IPC 420', 'Economic Offenses Act']",18,1,0.6444231696298166,0.3590707790431512,Rejected,Middle
748,Violent,"['Narcotics Act', 'Cyber Laws']",34,1,0.0283374503833846,0.0454865414722746,Rejected,Middle
749,Economic,['IPC 302'],39,0,0.8285302595815085,0.8456263001150188,Granted,Middle
750,Cyber Crime,"['Economic Offenses Act', 'Economic Offenses Act', 'IPC 307']",41,0,0.7882752081708296,0.9112343103146714,Rejected,Middle
751,Cyber Crime,"['IPC 379', 'IPC 307']",42,0,0.2590351441033471,0.8206273934190368,Granted,Low
752,Violent,"['Cyber Laws', 'IPC 302', 'IPC 302']",23,0,0.708676719965507,0.1279499409197648,Granted,Middle
753,Economic,"['IPC 307', 'Cyber Laws', 'IPC 302']",7,1,0.2148546064249981,0.9979151344122876,Rejected,Low
754,Economic,['IPC 420'],39,1,0.0403301610515129,0.2585842215527738,Rejected,High
755,Economic,"['IPC 302', 'IPC 379', 'Narcotics Act']",3,0,0.2011365425903772,0.7242049128083701,Granted,High
756,Drug-related,['Cyber Laws'],12,0,0.1786288767542995,0.9080348763357216,Rejected,High
757,Non-violent,['IPC 302'],7,1,0.3377479967348472,0.2356871143307094,Granted,Middle
758,Drug-related,"['IPC 302', 'IPC 379', 'IPC 420']",26,1,0.4184494971754581,0.908258554677066,Rejected,Middle
759,Non-violent,['IPC 302'],33,1,0.5085388914977079,0.3094815791948669,Rejected,Middle
760,Economic,"['IPC 307', 'Economic Offenses Act', 'Economic Offenses Act']",37,1,0.4767538755083281,0.976413222384056,Granted,High
761,Economic,"['Cyber Laws', 'IPC 302', 'Economic Offenses Act']",15,1,0.2706746059652893,0.2812600203804746,Granted,High
762,Drug-related,"['IPC 307', 'Economic Offenses Act', 'Narcotics Act']",2,0,0.0291706685740744,0.9534358247578352,Granted,High
763,Drug-related,"['IPC 302', 'IPC 302']",41,0,0.6051016222371507,0.0535446508926749,Rejected,High
764,Non-violent,"['IPC 379', 'IPC 302']",7,1,0.3957448298473544,0.709272011669813,Rejected,Low
765,Cyber Crime,['IPC 302'],32,1,0.2986721573875497,0.5321111338370037,Rejected,Low
766,Non-violent,['Cyber Laws'],4,0,0.8669410428305123,0.4778770771227306,Granted,Middle
